"","DataZone","A Road","B Road","Local Access Road","Local Road","Minor Road","Motorway","Restricted Local Access Road","Secondary Access Road"
"92","S01006597",178.79,0,0,677.77,90.92,0,92.09,0
"93","S01006598",762.95,0,0,2399.82,643.77,0,329.4,70.09
"94","S01006599",648.28,0,0,1358.89,0,0,42.31,0.06
"95","S01006600",1518.17,445.28,0,1682.32,189.71,0,782.8,220.02
"96","S01006601",240.09,0.88,0,2253.06,0,0,189.96,231.68
"97","S01006602",0,236.4,0,1674.2,410.24,0,48.53,0
"98","S01006603",0,0,0,2608.14,800.04,0,0,0
"99","S01006604",0,0,0,1109.72,1083.91,0,107.82,0
"100","S01006605",0,0,0,2219.64,650.57,0,0,0
"101","S01006606",548.79,1441,0,2533.16,916.15,0,189.12,0
"102","S01006607",0,0,0,1752.18,1237.53,0,50.74,51.71
"103","S01006608",7561.86,0,920.28,10581.17,9692.27,0,6197.22,704.41
"104","S01006609",0,0,0,2502.2,680.15,0,514.29,41.33
"105","S01006610",0,0,0,1251.2,207.08,0,45.75,0
"106","S01006611",0,0,0,2534.84,243.49,0,17.76,0
"107","S01006612",79.58,0,0,2164.39,3.29,0,418.73,0
"108","S01006613",0,0,117.56,1862.49,884.99,0,0,0
"109","S01006614",0,0,0,1991.53,34,0,0,0
"110","S01006615",0,0,0,2670.2,453.44,0,47.22,0
"111","S01006616",0,0,140.32,2110.07,520.25,0,0,0
"112","S01006617",0,0,0,1944.94,852.49,0,41.22,35.47
"113","S01006618",0,0,48.01,1676.88,409.36,0,0,0
"114","S01006619",0,0,101.61,3216.83,1579.69,0,459.17,133.2
"115","S01006620",0,0,0,2053.06,686.2,0,247.26,4.85
"116","S01006621",0,0,0.46,1053.46,463.17,0,2.85,0
"117","S01006622",0,0,297.02,1319.74,381.07,0,0,0
"118","S01006623",1595.96,182.07,915.57,10968.13,14364.14,0,14521.81,112.65
"119","S01006624",540.64,0,0,1533.75,94.95,0,28.81,69.14
"120","S01006625",0,0,0,1688.26,31.26,0,39.03,0
"121","S01006626",0,0,0,1838.07,0,0,4.41,0
