"","DataZone","A Road","B Road","Local Access Road","Local Road","Minor Road","Motorway","Restricted Local Access Road","Secondary Access Road"
"1120","S01007625",0,0,141.07,2548.75,407.41,0,262.88,0
"1121","S01007626",0,0,0,2207.82,1977.08,0,1260.59,0
"1122","S01007627",7538.22,0,61.31,8872.4,3062.64,0,3570.44,36.24
"1123","S01007628",2961.24,0,192.37,2305.73,345.65,0,731.11,0
"1124","S01007629",5433.6,0,68.71,4303.61,12076.89,0,7644.43,0
"1125","S01007630",8794.01,8816.84,0,3603.36,19838.64,0,17100.14,0
"1126","S01007631",2638.38,6052.02,0,7193.55,22191.83,0,15636.09,0
"1127","S01007632",1511.36,600.62,46.55,2742.37,252.74,0,829.05,0
"1128","S01007633",0,732.5,0,3297.17,580.43,0,130.59,0
"1129","S01007634",2654.74,6616.09,27.8,5951.54,26940.36,6056.31,18582.28,59.55
"1130","S01007635",704.22,1387.29,0,3768.76,2.82,625.54,299.66,0
"1131","S01007636",379,1373.06,0,1964.11,1054.38,0,238.9,64.24
"1132","S01007637",0,808.29,0,2159.23,1054.22,0,1.99,63.42
"1133","S01007638",0.51,1367.25,0,1993.2,248.94,0,921.27,62.01
"1134","S01007639",0,2162.66,0,2715.37,1377.72,0,177.24,88.72
"1135","S01007640",4540,25300.31,0,10762.64,51764.05,7845.78,63797.49,69.94
"1136","S01007641",15649.75,16867.54,443.58,5379.4,24336.95,17629.6,125487.79,197.26
"1137","S01007642",1207.7,0,0,3479.79,1086.95,0,820.91,0
"1138","S01007643",832.1,0,0,4104.49,1314.38,0,1355.66,0
"1139","S01007644",410.97,0,0,1973.07,1352.17,0,650.63,0
"1140","S01007645",22007.04,13768.11,0,4249.07,46336.89,17958.09,70377.53,0
"1141","S01007646",18903.14,34736.18,7643.55,13542.88,45459.91,0,338874.38,0
"1142","S01007647",980.47,0,113.7,4259.31,0,0,722.52,110.4
"1143","S01007648",585.41,850.19,0,2641.56,385.57,0,724.47,557.5
"1144","S01007649",3027.26,12586.85,0,3242.96,5005.28,0,19498.57,280.76
"1145","S01007650",5254.11,18441.26,1362.6,7664.01,11746.72,0,28381.03,286.44
"1146","S01007651",3133.05,15031.85,512.45,5230.53,48527.45,813.27,31772.85,0
"1147","S01007652",0,9922.61,43.2,5664.91,3507.44,7597.88,13412.34,0
"1148","S01007653",0,11140.95,0,2605.37,8840.78,1882.74,11242.39,0
"1149","S01007654",0,9709.9,873.53,7075.7,17051.1,6949.05,19296.4,0
"1150","S01007655",0,30427.81,797.11,12321.03,59046.6,0,139098.68,0
"1151","S01007656",2225.93,24545.35,2084.08,11193.8,53382.36,7818.99,41417.9,0
"1152","S01007657",3299.01,13972.62,116,1290.2,18443.13,0,14934.39,0
"1153","S01007658",1930.37,6366.63,221.23,1676.33,15001.66,0,16351.57,178.99
"1154","S01007659",5132.95,14068.06,400.03,6641.78,19731.54,0,16716.87,136.35
"1155","S01007660",0,0,0,2157.01,514.01,0,185.65,0
"1156","S01007661",0,260,65.25,2042.12,1151.9,0,268.59,0
"1157","S01007662",0,1112,0,2532,468.07,0,198.75,74.39
"1158","S01007663",0,516.48,0,2150.5,717.07,0,607.1,195.01
"1159","S01007664",0,0,0,1341.13,594.97,0,39.74,39.22
"1160","S01007665",0,180.77,0,1611.03,534.81,0,0,327.29
"1161","S01007666",0,65.07,0,2002.95,0,0,49.97,0
"1162","S01007667",0,0,0,2477.84,892.79,0,74.27,57.72
"1163","S01007668",0,0,0,2368.3,613.93,0,0,0
"1164","S01007669",0,7.92,0,1376.89,0,0,0,234.6
"1165","S01007670",0,0,0,1709.05,0,0,110.36,0
"1166","S01007671",6680.22,15635.58,830.29,6413.72,28220.89,0,28744.04,83.67
"1167","S01007672",0,177.16,111.07,5264.5,6496.35,0,3509.82,221.99
"1168","S01007673",0,1448.8,0,2931.07,776.57,0,105.84,0
"1169","S01007674",0,27.26,0,2999.27,0,0,66.63,0
"1170","S01007675",0,3943.2,655.82,5078.51,1853.42,0,21234.49,0
"1171","S01007676",6549.1,9977.78,1742.1,8135.8,28589.7,5560.57,15888.74,0
"1172","S01007677",0,599.65,0,1438.72,362.8,0,777.01,111.03
"1173","S01007678",0,439.05,183.83,3433.43,580.5,0,126.97,66.08
"1174","S01007679",0,0,0,1726.67,839.13,0,751.14,0
"1175","S01007680",0,1391.99,648.66,2887.69,943.41,0,1362.64,106.21
"1176","S01007681",0.44,929.75,89.72,641.06,2469.47,3567.85,519.39,432.82
"1177","S01007682",3596.26,0,0,4518.6,1970.06,0,6818.37,0
"1178","S01007683",0,0,140.1,2433.07,166.56,0,700.24,148.88
"1179","S01007684",0,0,52.73,3455.86,1419.97,0,3311,0
"1180","S01007685",0,0,0,2983.36,573.15,0,1344.29,280.08
"1181","S01007686",0,0,0,2852.61,455.67,0,3.6,0
"1182","S01007687",0,0,0,1488.51,817.37,0,518.63,120.66
"1183","S01007688",0,0,0,1285.58,282.43,0,125.01,43.85
"1184","S01007689",0,0,0,903.76,318.68,0,63.07,0
"1185","S01007690",0,0,0,1421.74,467.7,0,150.71,2.48
"1186","S01007691",2524.92,0,55.81,6940.6,1876.66,0,1973.93,192.07
"1187","S01007692",0,0,0,865.94,589.57,0,29.84,0
"1188","S01007693",0,0,0,2659.98,1044.94,0,426.44,0
"1189","S01007694",0,0,0,1477.18,565.21,0,122.42,62.22
"1190","S01007695",0,0,0,1071.99,342.61,0,0,62.49
"1191","S01007696",0,0,0,1030.95,340.88,0,177.54,0
"1192","S01007697",0,0,0,2586.84,681.31,0,0,0
"1193","S01007698",140.54,0,0,1259.53,341.81,0,0,75.8
"1194","S01007699",292.08,0,0,1028.4,161.67,0,0,0
"1195","S01007700",168.25,0,0,4188.9,1149.31,0,428.12,0
"1196","S01007701",400.6,0,0,1816.93,336.59,0,270.32,29.72
"1197","S01007702",857.26,0,0,1862.4,0,0,871.84,0
"1198","S01007703",0,0,92.9,3080.4,346.45,0,0,0
"1199","S01007704",505.83,0,70.61,1153.4,22.57,0,0,22.27
"1200","S01007705",718.61,0,583.44,3891.29,202.98,0,421.48,62.15
"1201","S01007706",1211.93,0,0,2162.05,470.1,0,235.21,86.11
"1202","S01007707",720.39,0,0,2034.24,0,0,1703.17,4.99
"1203","S01007708",266.13,55.43,0,936.29,285.43,0,2.17,0
"1204","S01007709",562.85,0,0,1738.33,805.93,0,181.28,0
"1205","S01007710",1527.78,0,128.28,2433.66,656.7,0,394.46,335.71
"1206","S01007711",914.88,0,540.53,1346.26,215.35,0,128.59,0
"1207","S01007712",224.16,0,0,969.92,0,0,0,0
"1208","S01007713",114.25,0,0,1165.35,0,0,0,0
"1209","S01007714",0,156.63,0,1027.01,385.31,0,0.29,0
"1210","S01007715",0,0,0,1724.57,664.35,0,64.56,0
"1211","S01007716",0,0,0,755.57,946.32,0,212.26,0
"1212","S01007717",0,0,0,1596.21,636.07,0,121.37,0
"1213","S01007718",0,435.63,0,1071.64,507.26,0,77.87,82.96
"1214","S01007719",0,236.95,0,918.17,854.09,0,43.71,0
"1215","S01007720",234.24,0,0,2295.98,232.09,0,0,0
"1216","S01007721",0,0,0,1180.18,539.11,0,0,0
"1217","S01007722",0,0,0,1987.46,115.93,0,31,38.21
"1218","S01007723",0,0,0,1581.79,362.1,0,56.55,0
"1219","S01007724",0,639.18,0,1905.36,1.03,0,12.3,0
"1220","S01007725",0,148.38,0,1047.03,31.61,0,0,0
"1221","S01007726",0,0,0,1563.11,0,0,27.42,0
"1222","S01007727",322.34,831.36,0,1116.16,87.04,0,24.6,82.52
"1223","S01007728",391.72,46.9,47.54,941.05,279.34,0,63.04,100.52
"1224","S01007729",218.27,0,0,1092.83,188.16,0,43.74,0
"1225","S01007730",233.94,0,0,481.99,295.37,0,347.11,0
"1226","S01007731",0,155.69,0,799.83,0,0,0,0
"1227","S01007732",116.27,450.28,0,1338.27,0,0,0,0
"1228","S01007733",348.15,0,0,2073.6,280.56,0,1052.47,0
"1229","S01007734",0,506.62,0,3922.57,328.1,0,785.22,68.8
"1230","S01007735",201.02,0,0,2806.84,1425.87,0,135.4,0
"1231","S01007736",547.19,0,0,2312.26,483.39,0,210.07,0
"1232","S01007737",648.01,190.71,0,2581.18,505.05,0,644.98,0
"1233","S01007738",140.63,666.99,0,1947.37,488.36,0,5583.56,0
"1234","S01007739",460.36,274.01,0,2059.65,325.13,0,268.75,0
"1235","S01007740",647.52,0,0,1170.66,0,0,721,0
"1236","S01007741",591.81,0,0,1311.94,992.77,0,161.02,39.69
"1237","S01007742",1444.3,0,0,2366.27,1551.19,0,5143.19,56.45
"1238","S01007743",136.21,65.71,175.52,1689.28,41,0,0,38.74
"1239","S01007744",0,12.76,0,1172.66,476.97,0,12.18,1.61
"1240","S01007745",27.51,0,0,1309.05,157.3,0,0,0
"1241","S01007746",0,0,0.02,1616.02,333.87,0,0,0
"1242","S01007747",0,22.9,0,676.4,475.27,0,121.63,78.71
"1243","S01007748",0,339.81,85.18,1420.32,737.61,0,11.81,0
"1244","S01007749",233.92,0,0,2396.25,0,0,0,0
"1245","S01007750",434.25,57.28,10.73,3266.63,928.24,0,347.94,0
"1246","S01007751",1276.67,0,0,2798.92,812.7,0,1507.29,0
"1247","S01007752",117.29,360.92,0,2329.46,552.59,0,604.95,0
"1248","S01007753",1149.85,401.86,103.44,1910.9,287,0,429.03,9.23
"1249","S01007754",0,0,0,2192.85,313.19,0,0,0
"1250","S01007755",0,0,0,1743.25,103.61,0,0,0
"1251","S01007756",0,0,0,1028.14,308.37,0,0,0
"1252","S01007757",0,89.75,0,2976.35,517.65,0,0,0
"1253","S01007758",386.12,693.26,157.57,3467.36,638.49,0,1019.63,10.18
"1254","S01007759",361.56,18.87,154.1,2425.99,372.62,0,292.05,0
"1255","S01007760",0,13.92,0,3010.58,438.85,0,556.66,31.87
"1256","S01007761",757.29,0,0,2975.42,295.93,0,872,200.23
"1257","S01007762",0,0,23.85,1568.78,1667.99,0,127.02,41.9
"1258","S01007763",0,0,0,1098.95,469.15,0,0,0
"1259","S01007764",0,0,0,2532.15,349.25,0,391.44,0
"1260","S01007765",0,0,0,2455.35,6.33,0,0,0
"1261","S01007766",0,0,0,3735.29,445.69,0,34.76,0
"1262","S01007767",486.96,0,0,2670.95,995.13,0,0,0
"1263","S01007768",25.77,0,0,1667.04,1358.79,0,220.82,146.54
"1264","S01007769",723.53,0,57.61,2060.02,1101.06,0,544.29,1
"1265","S01007770",542.3,0,72.19,2694.34,1406.59,0,977.7,124.7
"1266","S01007771",346.64,0,0,1935.42,322.59,0,169.4,103.3
"1267","S01007772",0,0,0,2352.32,685.68,0,1883.92,277.89
"1268","S01007773",0,0,0,2822.86,93.16,0,0,0
"1269","S01007774",230.19,0,68.08,2906.2,185.18,0,63,0
"1270","S01007775",563.76,0,327.71,3027.79,300.84,0,0,0
"1271","S01007776",344.07,0,61.15,2400.94,968.36,0,0,0
"1272","S01007777",867.07,0,0,3977.66,312.41,0,655.56,194.38
"1273","S01007778",1008.28,1980.5,298.3,2863.07,491.93,0,5048.56,124.53
"1274","S01007779",0,1742.85,298.08,5259.84,1197.49,0,1959.43,128.34
"1275","S01007780",0,0,0,2072.99,0,0,0,0
"1276","S01007781",0,0,0,2743.07,750.43,0,31.17,0
"1277","S01007782",0,0,0,2437.71,215.31,0,350.75,0
"1278","S01007783",0,924,268.15,3953.43,596.96,0,445.98,0
"1279","S01007784",0,0,0,2615.59,180.39,0,0,0
"1280","S01007785",0,0,0,1630.55,1116.01,0,0,0
"1281","S01007786",0,0,0,1636.77,542.64,0,0,90.22
"1282","S01007787",0,0,0,1565.78,97.73,0,0,0
"1283","S01007788",0,0,0,1399.88,485.95,0,0,0
"1284","S01007789",0,0,0,1286.05,372.37,0,43.51,0
"1285","S01007790",0,0,0,1866.81,151.98,0,48.86,0
"1286","S01007791",810.35,0,219.88,3024.4,3768.92,0,1995.63,0
"1287","S01007792",0,0,0,1909.44,50.36,0,0,0.92
"1288","S01007793",0,0,0,1644.36,596.63,0,0,388.63
"1289","S01007794",0,0,63.21,1413.23,348.25,0,140.72,147.54
"1290","S01007795",93.96,0,0,1714.75,486.1,0,129.09,0
"1291","S01007796",544.68,0,290.69,3371.96,38.23,0,365.66,271.89
"1292","S01007797",105.44,0,0,1787.42,0,0,0,318.64
"1293","S01007798",0,0,261.78,2747.15,1454.99,0,216.97,0
"1294","S01007799",0,0,152.77,1817.17,0,0,210.79,0
"1295","S01007800",0,0,50.87,2619.99,1284.53,0,152.04,0
"1296","S01007801",545.9,0,9.06,2718.5,208.43,0,37.79,0
"1297","S01007802",0,0,0,1057.89,10.54,0,0,0
"1298","S01007803",1317.03,1079.67,437.13,5229.93,1416.37,0,2619.28,91.34
"1299","S01007804",0,0,0,1922.89,21.28,0,0,0
"1300","S01007805",0,0,5.59,1495.36,809.09,0,24.63,0
"1301","S01007806",0,0,0,2325.25,0,0,0,2.63
"1302","S01007807",1766.04,0,131.19,4359.95,539.61,0,1269.74,41.3
"1303","S01007808",0,0,0,1780.37,663.92,0,295.12,0
"1304","S01007809",1107.74,0,69.73,2585.44,619.45,0,347.29,0
"1305","S01007810",0,0,0,3063.82,662.85,0,102.42,0
"1306","S01007811",0,0,7.21,2173.15,1544.94,0,88.97,0
"1307","S01007812",0,0,0,2307.23,138.11,0,6.01,0
"1308","S01007813",0,0,0,1875.59,143.4,0,36.72,0
"1309","S01007814",0,0,0,1788.27,387.2,0,0,2.29
"1310","S01007815",0,0,0,2483.87,1923.07,0,282.44,0
"1311","S01007816",0,0,0,2496.08,405.9,0,0,34.58
"1312","S01007817",0,0,0,879.56,406.72,0,2.85,23.74
"1313","S01007818",0,0,0,1508.22,994.93,0,76.83,0
"1314","S01007819",0,0,0,2983.56,921.63,0,0.76,0
"1315","S01007820",0,0,0,2997.57,541.33,0,40.02,44.48
"1316","S01007821",0,0,0,1286.08,177.42,0,119.35,0
"1317","S01007822",840.77,0,0,2516.38,703.38,0,0,0
"1318","S01007823",95.05,0,0,1506.2,1047.7,0,183.63,0
"1319","S01007824",129.44,0,39.4,3547.35,737.84,0,311.69,0
"1320","S01007825",683.79,1025.9,1226.6,2973.42,604.29,0,2003.38,0
"1321","S01007826",1321.7,45.63,167.04,5778.55,2375.5,0,842.97,0
"1322","S01007827",0,0,810.28,1165.69,129.5,0,1067.98,0
"1323","S01007828",265.52,0,0,1662.47,1137.7,0,157.02,50.34
"1324","S01007829",0,0,0,3833.33,48.57,0,0,0
"1325","S01007830",0,0,0,1785.9,146.81,0,100.87,0
"1326","S01007831",0,0,0,1762.21,646.98,0,343,0
"1327","S01007832",0,0,0,1355.42,595.11,0,0,0
"1328","S01007833",0,0,0,1880.18,1605.25,0,814.36,0
"1329","S01007834",31.33,0,0,1167.47,789.51,0,0,0
"1330","S01007835",162.15,0,0,1020.7,596.58,0,0,39.41
"1331","S01007836",0,0,112.82,1463.5,1016.18,0,5162.28,0
"1332","S01007837",0,0,0,2160.49,766.63,0,100.29,0
"1333","S01007838",0,0,0,3687.8,550.79,0,56.4,0
"1334","S01007839",0,0,2867.36,3373.87,983.16,0,445.76,0
"1335","S01007840",0,0,39.55,1541.58,361.27,0,42.1,0
"1336","S01007841",0,0,0,884.05,1433.61,0,0,165.26
"1337","S01007842",0,0,0,1144.61,1033.08,0,421.54,0
"1338","S01007843",0,0,137.3,922.92,477.64,0,94.65,0
"1339","S01007844",0,0,27.76,1686.24,224.73,0,0,0
"1340","S01007845",0,0,0,1544.73,247.92,0,102.88,0
"1341","S01007846",669.83,0,155,2458.46,732.32,0,5.67,0
"1342","S01007847",255.14,0,0,2370.75,0,0,129.21,0
"1343","S01007848",0,0,0,1299.84,282.07,0,0,0
"1344","S01007849",110.19,0,0,1970.83,46.99,0,71.78,156.3
"1345","S01007850",424.32,0,0,2870.05,112.86,0,47.73,0
"1346","S01007851",578.04,0,0,2488.42,165.82,0,40.74,0
"1347","S01007852",0,0,0,1191.07,0,0,72.68,0
"1348","S01007853",671.28,0,54.6,2269.39,21.65,0,121.78,28.26
"1349","S01007854",35.45,0,185.31,2632.51,689.03,0,314.19,118.2
"1350","S01007855",464.7,0,9.86,2547.97,554.35,0,106.5,65.58
"1351","S01007856",0,0,163.68,1729.98,1054.86,0,218.6,0
"1352","S01007857",0,0,0,1395.87,358.46,0,0,0
"1353","S01007858",3131.47,0,171.24,6856.75,2139.73,0,2170.6,0
"1354","S01007859",0,0,0,3523.34,260.18,0,38.09,0
"1355","S01007860",0,0,0,1765.47,338.83,0,0,0
"1356","S01007861",0,0,0,1312.36,332,0,156.22,0
"1357","S01007862",0,0,0,2131.63,194.9,0,77.35,0
"1358","S01007863",0,0,0,2102.47,189.66,0,0,0
"1359","S01007864",0,0,2.94,1949.26,413.3,0,0.98,0
"1360","S01007865",1533.9,0,93.61,3025.57,2705.09,0,5744,0
"1361","S01007866",0,0,405.56,1128.86,358.02,0,470.38,0
"1362","S01007867",1019.62,0,77.24,8309.27,5524.01,0,2109.35,0
"1363","S01007868",761.54,0,0,3214.92,898.54,0,51.18,0
"1364","S01007869",1561.21,0,0,5035.11,3397.64,0,900.87,0
"1365","S01007870",12089.31,17415.99,940.16,12697.56,19741.61,0,137802.62,266.59
"1366","S01007871",0,0,0,2225.79,0,0,0,334.41
"1367","S01007872",0,0,84.59,3179.83,0,0,120.3,321.96
"1368","S01007873",569.81,647.58,263.39,2237.12,21.17,0,36.17,52.15
"1369","S01007874",252.5,241.08,0,2078.81,573.81,0,130.88,480.9
"1370","S01007875",0,1128.26,0,2164.08,0,0,320.02,89.36
"1371","S01007876",0,745.87,0,3216.97,0,0,383.44,259.6
"1372","S01007877",740.18,0,0,2816.65,1403.16,0,270.29,0
"1373","S01007878",1228.25,0,0,1996.52,939.67,0,0,0
"1374","S01007879",0,0,0,1869.46,597.38,0,94.87,0
"1375","S01007880",9618.58,8786.88,1181.89,1072.45,11816.93,0,23101.89,0
"1376","S01007881",0,12843.15,0,3465.12,4576.24,0,55350.02,0
"1377","S01007882",9895.05,6770.13,199.27,4698.76,35322.29,0,24732.42,58.72
"1378","S01007883",448.02,272.32,0,2529.09,983.35,0,473.82,51.94
"1379","S01007884",0,0,0,1724.61,0,0,1.56,70.87
"1380","S01007885",0,663.09,0,2665.86,0,0,0,0
"1381","S01007886",0,1149.26,0,2964.29,566.06,0,1165.57,101.08
"1382","S01007887",8763.66,8506.41,269.35,4249.86,37646.66,0,21668.19,0
"1383","S01007888",0,199.73,0,3316.98,94.34,0,56.79,95.77
"1384","S01007889",0,44.27,0,1900.65,477.44,0,0,375.05
"1385","S01007890",0,0,0,1876.53,703.41,0,96.33,0
"1386","S01007891",0,405.73,0,3258.89,388.29,0,67.96,0
"1387","S01007892",12.35,319.98,0,2649.58,634.81,0,91.92,0
"1388","S01007893",360.3,501.14,0,3792.77,369.22,0,63.66,97.75
"1389","S01007894",0,451.69,0,2604.09,0,0,0,35.73
"1390","S01007895",471.3,533.37,0,2404.82,1.8,0,148.27,0
"1391","S01007896",238.59,0,0,2426.68,49.63,0,1.5,64.86
"1392","S01007897",14184.63,11386.97,4027.77,4206.61,21491.12,0,53319.63,100.17
"1393","S01007898",8134.79,2927.73,1478.78,4171.75,19770.16,0,87048.42,43.19
"1394","S01007899",7973.08,12.36,2446.43,1745.54,25359.73,0,35294.25,0
"1395","S01007900",0,0,0,1898.1,376.27,0,9.15,79
"1396","S01007901",1122.64,0,436.23,1918.09,335.2,0,583.51,48.75
"1397","S01007902",561.25,0,75.56,4248.68,0,0,6.52,60.51
"1398","S01007903",1450.12,604.68,0,2237.9,1044.8,0,1017.55,308.55
"1399","S01007904",10019.93,32402.31,90.59,6256.73,35058.55,0,58173.91,0
"1400","S01007905",0,0,0,4686.43,0,0,252.07,0
"1401","S01007906",565.26,0,66.15,2649.14,0,0,99.18,114.62
"1402","S01007907",166.98,0,0,2057.96,0,0,80.33,0
"1403","S01007908",1578.02,1071.06,21.72,2043.85,2275.42,0,2012.26,219.52
"1404","S01007909",0,0,0,1217.05,304.81,0,0,45.58
"1405","S01007910",0,27.98,0,2744.74,20.02,0,0,0
"1406","S01007911",7.31,974.72,0,4092.14,421.34,0,748.07,0
"1407","S01007912",0,121.31,0,2151.51,661.84,0,0,0
"1408","S01007913",0,187.93,0,1637.43,0,0,0,0
"1409","S01007914",0,0,0,1365.47,0,0,0,0
"1410","S01007915",0,0,0,1981.62,0,0,116.62,0
"1411","S01007916",0,517.61,48.64,3663.76,0,0,0,0
"1412","S01007917",496.37,0,0,2021.79,0,0,193.09,75.5
"1413","S01007918",1408.82,503.93,372.88,3408.96,0,0,1282.28,89.43
"1414","S01007919",0,637.58,422.17,3238.35,0,0,627.45,0
"1415","S01007920",0,314.63,0,2765.43,0,0,377.54,0
"1416","S01007921",0,0,0,2940.32,47.12,0,49.76,45.5
"1417","S01007922",0,116.98,0,3038.49,0,0,0,195.54
"1418","S01007923",440.65,3781.03,154.67,2379.7,964.68,0,3547.86,170.8
"1419","S01007924",12.28,633.95,0,2984.07,0,0,801.87,0
"1420","S01007925",4934.77,9994.68,1713.94,5365.4,42041.52,0,26826.91,0
"1421","S01007926",8080.69,0,163.23,8216.97,31947.95,0,50818.61,0
"1422","S01007927",14507.97,3627.72,1162.94,7157.86,24214.43,9446.98,85458.64,0
"1423","S01007928",67.29,889.82,0,4208.97,1034.12,218.88,0,39.69
"1424","S01007929",3423.74,12545.04,255.1,5439.93,30254.42,0,26391.76,0
"1425","S01007930",10136.81,4320.98,3136.42,5824.96,36156.24,0,16559.72,0
"1426","S01007931",834.99,385.6,0,2845.58,504.24,0,267.38,74.37
"1427","S01007932",27.05,23.98,0,3632.01,0,0,0,42.52
"1428","S01007933",0,478.18,0,1692.13,0,0,153.01,0
"1429","S01007934",0,0,0,2259.89,0,0,0,0
"1430","S01007935",661.84,1133.68,189.12,1428.9,0,0,69.01,45.55
"1431","S01007936",0,613.36,0,3211.08,681.53,0,0,0
"1432","S01007937",684.91,428.81,0,3218.04,0,0,97.59,0
"1433","S01007938",0,378.26,86.64,1873.3,288.83,0,0,0
"1434","S01007939",114.49,0,0,2067.02,179.57,0,193.33,52.77
"1435","S01007940",819.57,0,0,2845.95,457.31,0,376.22,8.39
"1436","S01007941",0,0,60.66,2532.17,356.64,0,179.14,38.75
"1437","S01007942",211.56,0,0.54,1067.09,616.18,0,79.24,3.41
"1438","S01007943",388.6,0,92.94,1380.66,839.59,0,237.82,0
"1439","S01007944",614.28,0,0,2991.57,0,0,84.59,37.74
"1440","S01007945",1198.82,0,0,1352.67,1412.06,0,673.15,0
"1441","S01007946",393.58,0,0,2621.32,1217.86,0,286.53,0
"1442","S01007947",625.88,0,100.64,2414.85,402.68,0,64.42,0
"1443","S01007948",675.05,0,0,3005.19,0,0,80.9,0
"1444","S01007949",0,0,0,1554.73,423.6,0,239.35,252.04
"1445","S01007950",0,782.12,0,2918.31,389.28,0,318.23,190.46
"1446","S01007951",584.76,92.07,0,2151.61,111.21,0,84.05,208.78
"1447","S01007952",183.19,442.96,0,1344.6,524.24,0,127.96,26.33
"1448","S01007953",156.35,18.26,0,2831.58,154.56,0,77.89,547.47
"1449","S01007954",285.34,0,0,2551.94,0,0,32.37,315.49
"1450","S01007955",0,25.65,0,2030.67,0,0,0,129.09
"1451","S01007956",0,0,0,1837.18,0,0,59.57,163.48
"1452","S01007957",183.75,436.29,0,3513.61,0,0,87,123.77
"1453","S01007958",1073.31,0,0,2327.46,1.73,0,656.78,132.63
"1454","S01007959",982.42,899.07,0,2102.01,43.95,0,331.21,0
"1455","S01007960",0,0,0,1941.78,324.99,0,0,0
"1456","S01007961",27945.51,8962.84,313.65,10987.11,37534.51,624.85,36106.79,0
"1457","S01007962",1.03,0,0,1478.25,500.66,0,0,0
"1458","S01007963",0,0,0,2085.08,843.97,0,0,0
"1459","S01007964",0,546.42,0,3532.02,690.29,0,331.42,106.76
"1460","S01007965",0,0,0,1529.18,263.54,0,43.04,0
"1461","S01007966",0,0,0,2612.94,763.89,0,0,245.73
"1462","S01007967",0,0,0,1610.47,0,0,0,0
"1463","S01007968",0,0,0,2016.01,756.32,0,49.6,0
"1464","S01007969",0,0,0,1824.53,713.55,0,86.19,0
"1465","S01007970",0,0,1.17,1968.88,693.62,0,139.52,0
"1466","S01007971",0,555.71,237.93,2567.39,968.87,0,421.14,0
"1467","S01007972",371.26,36.52,0,2460.92,415.94,0,0,0
"1468","S01007973",0,313.27,0,2843.46,0,0,27.17,0
"1469","S01007974",528.82,1647.46,0,3070.89,760.35,0,208.5,73.98
"1470","S01007975",3114.2,1186.53,93.31,6462.35,650.39,0,1877.52,0
"1471","S01007976",131.13,319.84,0,1471.57,652.28,0,273.01,0
"1472","S01007977",67.91,0,0,1810.16,288.21,0,201.21,76.25
"1473","S01007978",290.85,34.47,0,1020.27,321.54,0,58.89,0
"1474","S01007979",572.54,992.72,0.78,3392.22,233.07,0,993.68,128.7
"1475","S01007980",0,369.75,122.55,2199.42,964.39,0,0,0
"1476","S01007981",0,290.06,0,2313.35,0,0,0,0
"1477","S01007982",0,0,0,2037.19,0,0,0,0
"1478","S01007983",0,0,0,3282.9,0,0,1.1,60.45
"1479","S01007984",0,1247.82,0,2097.54,825.92,0,4695.13,466.28
"1480","S01007985",0,0,0,1989.32,0,0,287.91,59.57
"1481","S01007986",0,0,0,2239.15,0,0,0,0
"1482","S01007987",0,68.78,0,1523.64,268.41,0,109.65,0
"1483","S01007988",0,85.71,0,2471.42,0,0,0,0
"1484","S01007989",0,328.53,0,1114.43,0,0,0,0
"1485","S01007990",375.75,287.65,0,2573.21,0,0,0,0
"1486","S01007991",0,1001.13,114.55,4210.67,583.27,0,71.01,0
"1487","S01007992",0,0,0,2016.97,0,0,0,0
"1488","S01007993",0,192.91,0,2070.14,0,0,0,0
"1489","S01007994",0,0,0,2926.48,0,0,0,0
"1490","S01007995",0,0,0,2086.11,0,0,0,0
"1491","S01007996",0,560.27,0,1502.61,139.25,0,303.57,0
"1492","S01007997",0,771.15,0,2309.96,0,0,48.8,0
"1493","S01007998",0,329.3,0,1023.31,639.82,0,16.87,0
"1494","S01007999",0,0,0,1915.71,0,0,0,0
"1495","S01008000",0,320.62,55.59,3689.12,0,0,42.99,0
"1496","S01008001",0,0,0,2670.09,0,0,37.53,129.47
"1497","S01008002",0,268.7,0,1813.57,613.45,0,93.53,613.02
"1498","S01008003",214.4,0,0,1971.44,0,0,0,257.8
"1499","S01008004",112.03,0,0,1999.58,278.77,0,0,0
"1500","S01008005",0,0,0,2258.2,0,0,0,0
"1501","S01008006",744.87,91.61,0,2410.78,4.36,0,0,80.87
"1502","S01008007",0,536.34,0,1267.67,0,0,64.31,627.45
"1503","S01008008",34.02,22.9,0,2133.44,0,0,0,9.4
"1504","S01008009",112.69,516.9,0,2662.26,15.39,0,0,166.77
"1505","S01008010",364.11,670.75,0,2638.02,0,0,0,0
"1506","S01008011",1286.03,0,0,2437,0,0,182.86,0
"1507","S01008012",1648.21,175.68,931.24,4808.98,800.3,0,1018.04,123.28
"1508","S01008013",0,539.37,0,2097.66,278.01,0,101.05,61.29
"1509","S01008014",0,585.97,0,1653.73,191.99,0,56.1,140.75
"1510","S01008015",0,496.31,0,2261.98,246.44,0,369.35,328.47
"1511","S01008016",0,594.75,0,1813.05,324.22,0,3.16,151.21
"1512","S01008017",0,35.37,0,4202.62,0,0,823.53,216.47
"1513","S01008018",792.04,0,0,1794.96,147.83,0,171.79,0
"1514","S01008019",469.75,0,0,1215.23,672.09,0,1285.18,571.16
"1515","S01008020",141.73,0,0,1333.85,240.08,0,2.76,272.08
"1516","S01008021",6.12,0,0,1624.66,273.54,0,182.11,237.01
"1517","S01008022",222.98,0,0,2192.67,511.86,0,0,0
